StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,id,discipline,impressiveness,learn,impressed,competence,trust,consensus,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2024-03-07 17:42:32,2024-03-07 17:45:26,0,82.14.229.130,100,174,1,2024-03-07 17:45:27,R_8q8AXapfKJYRxTU,NA,NA,NA,NA,53.5534,-2.1119,anonymous,EN,1,I pay attention,NA,female,31,6,65e1e27aea1b2826655d20c0,11,archeo,basic,4,4,4,5,4,65e9ee7366e6cf48b06d3809,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:30Z,2024-03-07T16:45:28Z,NA,2024-03-07T16:45:31Z,179,C232A6J3,25,Female,White,Germany,United Kingdom,United Kingdom,English,Yes,Full-Time
2024-03-07 17:42:32,2024-03-07 17:45:26,0,82.14.229.130,100,174,1,2024-03-07 17:45:27,R_8q8AXapfKJYRxTU,NA,NA,NA,NA,53.5534,-2.1119,anonymous,EN,1,I pay attention,NA,female,31,6,65e1e27aea1b2826655d20c0,11,entom,imp,5,5,5,5,4,65e9ee7366e6cf48b06d3809,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:30Z,2024-03-07T16:45:28Z,NA,2024-03-07T16:45:31Z,179,C232A6J3,25,Female,White,Germany,United Kingdom,United Kingdom,English,Yes,Full-Time
2024-03-07 17:42:54,2024-03-07 17:46:08,0,89.242.95.83,100,194,1,2024-03-07 17:46:08,R_5Lj2kJe9BVPkwFh,NA,NA,NA,NA,51.5591,-0.2283,anonymous,EN,1,I pay attention,NA,male,28,5,61446a1ecda939d3c22d9787,12,archeo,imp,2,4,4,3,4,65e9ee87dbe87ab9e222c474,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:52Z,2024-03-07T16:46:11Z,NA,2024-03-07T16:46:18Z,200,C232A6J3,1759,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:42:54,2024-03-07 17:46:08,0,89.242.95.83,100,194,1,2024-03-07 17:46:08,R_5Lj2kJe9BVPkwFh,NA,NA,NA,NA,51.5591,-0.2283,anonymous,EN,1,I pay attention,NA,male,28,5,61446a1ecda939d3c22d9787,12,entom,basic,2,2,4,4,4,65e9ee87dbe87ab9e222c474,AWAITING REVIEW,Not Applicable,2024-03-07T16:42:52Z,2024-03-07T16:46:11Z,NA,2024-03-07T16:46:18Z,200,C232A6J3,1759,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:41,2024-03-07 17:46:13,0,154.47.102.12,100,92,1,2024-03-07 17:46:13,R_2gZ9GZqT4ESNbih,NA,NA,NA,NA,51.5101,-3.5817,anonymous,EN,1,I pay attention,NA,male,21,3,5e36be214de4516479b48f31,13,archeo,basic,2,3,3,4,4,65e9eef69dadd9a64d6518c5,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:38Z,2024-03-07T16:46:16Z,NA,2024-03-07T16:46:22Z,99,C232A6J3,1265,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
2024-03-07 17:44:41,2024-03-07 17:46:13,0,154.47.102.12,100,92,1,2024-03-07 17:46:13,R_2gZ9GZqT4ESNbih,NA,NA,NA,NA,51.5101,-3.5817,anonymous,EN,1,I pay attention,NA,male,21,3,5e36be214de4516479b48f31,13,entom,imp,4,3,4,4,4,65e9eef69dadd9a64d6518c5,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:38Z,2024-03-07T16:46:16Z,NA,2024-03-07T16:46:22Z,99,C232A6J3,1265,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
2024-03-07 17:44:38,2024-03-07 17:46:13,0,86.180.220.37,100,95,1,2024-03-07 17:46:13,R_1ojiyewFgwuLn0Z,NA,NA,NA,NA,52.502,-3.977,anonymous,EN,1,I pay attention,NA,female,49,5,5e2c8f69cad44b2bc5ce9a34,14,archeo,imp,4,4,4,4,5,65e9eeefbc5b2101ea4e80ea,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:35Z,2024-03-07T16:46:20Z,NA,2024-03-07T16:46:26Z,105,C232A6J3,897,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:38,2024-03-07 17:46:13,0,86.180.220.37,100,95,1,2024-03-07 17:46:13,R_1ojiyewFgwuLn0Z,NA,NA,NA,NA,52.502,-3.977,anonymous,EN,1,I pay attention,NA,female,49,5,5e2c8f69cad44b2bc5ce9a34,14,entom,basic,4,5,4,4,5,65e9eeefbc5b2101ea4e80ea,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:35Z,2024-03-07T16:46:20Z,NA,2024-03-07T16:46:26Z,105,C232A6J3,897,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:43,2024-03-07 17:46:15,0,51.9.221.59,100,92,1,2024-03-07 17:46:16,R_25Fywy2893r2mof,NA,NA,NA,NA,54.5396,-5.975,anonymous,EN,1,I pay attention,NA,female,44,2,607081b0ecb2499634a349dd,15,archeo,basic,4,3,4,3,3,65e9eef6c030b34b6d824b1c,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:42Z,2024-03-07T16:46:19Z,NA,2024-03-07T16:46:24Z,97,C232A6J3,2112,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:44:43,2024-03-07 17:46:15,0,51.9.221.59,100,92,1,2024-03-07 17:46:16,R_25Fywy2893r2mof,NA,NA,NA,NA,54.5396,-5.975,anonymous,EN,1,I pay attention,NA,female,44,2,607081b0ecb2499634a349dd,15,entom,imp,4,3,4,4,3,65e9eef6c030b34b6d824b1c,AWAITING REVIEW,Not Applicable,2024-03-07T16:44:42Z,2024-03-07T16:46:19Z,NA,2024-03-07T16:46:24Z,97,C232A6J3,2112,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
